time,Battery Voltage,Solar Voltage,Solar Current,Solar Power,Solar Temperature,Inv Power,Current time,UpTime,users logged on,sysload last 1min,sysload last 5min,sysload last 15min
06/06/23 19:03,52.6 V,119.9 V,0.0 A,0 W,100.4 F,90 W
06/06/23 19:04,52.6 V,119.7 V,0.0 A,0 W,100.4 F,90 W
06/06/23 19:05,52.6 V,119.7 V,0.0 A,0 W,100.4 F,90 W
06/06/23 20:00,52.7 V,53.5 V,0.0 A,0 W,100.04 F,40 W
06/06/23 21:00,52.6 V,0.0 V,0.0 A,0 W,98.96000000000001 F,29 W
06/06/23 22:00,52.5 V,0.0 V,0.0 A,0 W,97.88000000000001 F,29 W
06/06/23 23:00,52.5 V,0.0 V,0.0 A,0 W,96.98 F,32 W
06/07/23 00:00,52.400000000000006 V,0.0 V,0.0 A,0 W,96.08000000000001 F,29 W
06/07/23 01:00,52.300000000000004 V,0.0 V,0.0 A,0 W,95.18 F,29 W
06/07/23 02:00,52.2 V,0.0 V,0.0 A,0 W,94.46000000000001 F,29 W
06/07/23 03:00,52.0 V,0.0 V,0.0 A,0 W,93.56 F,29 W
06/07/23 04:00,51.900000000000006 V,0.0 V,0.0 A,0 W,92.84 F,29 W
06/07/23 07:00,51.6 V,61.900000000000006 V,3.2 A,165 W,92.48 F,29 W
06/07/23 09:00,52.7 V,62.1 V,6.1000000000000005 A,321 W,109.4 F,29 W
06/07/23 10:00,52.800000000000004 V,60.7 V,4.4 A,232 W,111.92 F,29 W
06/07/23 11:00,52.900000000000006 V,62.0 V,3.9000000000000004 A,206 W,100.58000000000001 F,29 W
06/07/23 12:00,54.0 V,63.300000000000004 V,14.200000000000001 A,772 W,99.5 F,29 W
06/07/23 13:00,53.2 V,62.1 V,3.7 A,196 W,111.2 F,29 W
06/07/23 14:00,53.2 V,60.2 V,2.7 A,143 W,107.06 F,29 W
06/07/23 15:00,53.2 V,60.2 V,2.6 A,138 W,106.34 F,29 W
06/07/23 16:00,53.2 V,61.900000000000006 V,3.4000000000000004 A,180 W,106.7 F,29 W
06/07/23 17:00,53.2 V,60.5 V,3.2 A,170 W,109.76 F,29 W
06/07/23 18:00,52.900000000000006 V,60.2 V,2.5 A,137 W,103.64000000000001 F,29 W
06/07/23 19:00,52.800000000000004 V,60.2 V,2.5 A,132 W,101.12 F,29 W
